,Zipcode,Lat,Lng
149,04862,44.3119936,-69.2737949
150,01720,42.4836453,-71.4418101
151,02703,41.925494,-71.2992993
152,01801,42.4884618,-71.13296849999999
153,02881,41.4787737,-71.5219477
154,04969,44.7629558,-69.2150173
155,02895,41.9995834,-71.51304449999999
156,04364,44.3145129,-69.9567134
157,06331,41.6887513,-72.0231125
158,07871,41.051989,-74.6283316
159,11701,40.66761049999999,-73.4121277
160,08805,40.5702869,-74.54046939999999
161,12482,40.5702869,-74.54046939999999
162,11801,40.7621388,-73.51818329999999
163,11545,40.831613,-73.5888575
164,07946,40.6662818,-74.51703189999999
165,765,42.9903548,-81.22598990000002
166,08872,40.465024,-74.3528822
167,617,37.5541309,-122.3108469
168,14020,43.0100971,-78.2248291
169,08722,39.9268202,-74.197388
170,13850,42.0636938,-76.01598
171,11716,40.7734855,-73.12905959999999
172,13619,43.98233,-75.667356
173,07727,40.1940632,-74.1592278
174,10509,41.4238545,-73.5829689
175,08723,40.0508979,-74.1357407
176,08014,39.8184428,-75.3587075
177,08805,40.5702869,-74.54046939999999
178,11961,40.8991599,-72.88699299999999
179,07746,40.3268076,-74.2531465
180,14422,43.07840239999999,-78.0537813
181,13346,42.8143452,-75.55096019999999
182,623,33.5415295,-112.2963861
183,07004,40.8844007,-74.30595459999999
184,12771,41.3662803,-74.6283316
185,13160,42.8258272,-76.6528225
186,07202,40.6517521,-74.21499779999999
187,08817,40.5054763,-74.3939339
188,08014,39.8184428,-75.3587075
189,08854,40.554887,-74.4642861
190,08753,39.9741059,-74.1592278
191,08750,40.1318193,-74.0358876
192,08077,40.0026501,-74.9968543
193,11735,40.7245083,-73.4298073
194,11804,40.7535026,-73.4592701
195,13069,43.3375272,-76.3868797
196,13813,42.1713703,-75.5626039
197,07828,40.890298,-74.74541119999999
198,07930,40.7850853,-74.69858909999999
199,11788,40.8153846,-73.21165839999999
200,13748,42.0293491,-75.8185314
201,12550,41.5306113,-74.05351259999999
202,08043,39.8383777,-74.9325683
203,07080,40.56829,-74.41738769999999
204,783,34.084326,-117.2869962
205,12764,41.5814163,-74.9910112
206,08010,40.0520116,-74.9150313
207,08857,40.3879889,-74.3352858
208,13619,43.98233,-75.667356
209,08848,40.6000823,-75.0961549
210,07662,40.9094443,-74.0799469
211,08848,40.6000823,-75.0961549
212,08330,39.4820948,-74.7571147
213,07885,40.8932251,-74.5812124
214,08825,40.5112715,-75.0260667
215,08221,39.3439484,-74.5580454
216,08721,39.9139788,-74.1592278
217,12123,42.5122393,-73.6300729
218,07105,40.7231264,-74.1416127
219,07032,40.7593718,-74.1181234
220,14470,43.2205772,-78.04236829999999
221,646,32.2957777,-110.9736536
222,07801,40.9479587,-74.5521869
223,14094,43.17139479999999,-78.6795836
224,12428,41.7309078,-74.4408385
225,08053,39.8522951,-74.88579890000001
226,08215,39.5781244,-74.5697617
227,13760,42.1387904,-76.07399989999999
228,08857,40.3879889,-74.3352858
229,08088,39.8388924,-74.7102958
230,14903,42.1385729,-76.8836261
231,07410,40.9370006,-74.1181234
232,08405,39.4438532,-74.5590699
233,08835,40.5448011,-74.59026349999999
234,654,30.3920136,-86.45411159999999
235,08518,40.1181399,-74.8097703
236,14103,43.2203105,-78.4069732
237,14301,43.0984101,-79.0334288
238,08360,39.4787827,-75.03775019999999
239,08562,40.07234090000001,-74.5814773
240,08322,39.6087255,-75.0260667
241,08816,40.4333407,-74.41152459999999
242,08514,40.1396104,-74.48773059999999
243,661,34.4128373,-118.5585097
244,11040,40.7466623,-73.6830521
245,13069,43.3375272,-76.3868797
246,08341,39.515707,-74.9530257
247,07026,40.8761974,-74.1063776
